,match_time,template
20180102T003850Z,2018-01-02T00:38:50.130000Z,3d
20180102T003923Z,2018-01-02T00:39:23.410000Z,5c
20180102T004516Z,2018-01-02T00:45:16.440000Z,1a
20180102T005119Z,2018-01-02T00:51:19.350000Z,1a
20180102T005350Z,2018-01-02T00:53:50.120000Z,5a
20180102T005446Z,2018-01-02T00:54:46.380000Z,4b
20180102T010637Z,2018-01-02T01:06:37.800000Z,1d
20180102T011206Z,2018-01-02T01:12:06.100000Z,1a
20180102T013951Z,2018-01-02T01:39:51.150000Z,1a
20180102T014055Z,2018-01-02T01:40:55.330000Z,6b
20180102T014545Z,2018-01-02T01:45:45.220000Z,1b
20180102T020351Z,2018-01-02T02:03:51.170000Z,1d
20180102T023810Z,2018-01-02T02:38:10.740000Z,4b
20180102T024625Z,2018-01-02T02:46:25.230000Z,6d
20180102T031602Z,2018-01-02T03:16:02.920000Z,1a
20180102T032042Z,2018-01-02T03:20:42.020000Z,1a
20180102T033136Z,2018-01-02T03:31:36.710000Z,1d
20180102T033801Z,2018-01-02T03:38:01.480000Z,1c
20180102T043533Z,2018-01-02T04:35:33.550000Z,2b
20180102T050834Z,2018-01-02T05:08:34.520000Z,5a
20180102T051335Z,2018-01-02T05:13:35.290000Z,1a
20180102T052452Z,2018-01-02T05:24:52.150000Z,1c
20180102T053724Z,2018-01-02T05:37:24.410000Z,1d
20180102T054415Z,2018-01-02T05:44:15.940000Z,1c
20180102T060957Z,2018-01-02T06:09:57.160000Z,1a
20180102T061220Z,2018-01-02T06:12:20.240000Z,3d
20180102T062111Z,2018-01-02T06:21:11.130000Z,1b
20180102T063502Z,2018-01-02T06:35:02.490000Z,6d
20180102T064743Z,2018-01-02T06:47:43.460000Z,5a
20180102T065637Z,2018-01-02T06:56:37.240000Z,3d
20180102T072114Z,2018-01-02T07:21:14.890000Z,1a
20180102T072541Z,2018-01-02T07:25:41.050000Z,4b
20180102T081510Z,2018-01-02T08:15:10.070000Z,1c
20180102T082717Z,2018-01-02T08:27:17.170000Z,2b
20180102T083307Z,2018-01-02T08:33:07.260000Z,1c
20180102T085106Z,2018-01-02T08:51:06.060000Z,4b
20180102T090921Z,2018-01-02T09:09:21.650000Z,5c
20180102T091935Z,2018-01-02T09:19:35.550000Z,4b
20180102T092225Z,2018-01-02T09:22:25.810000Z,1a
20180102T093027Z,2018-01-02T09:30:27.170000Z,4b
20180102T100649Z,2018-01-02T10:06:49.150000Z,5a
20180102T100951Z,2018-01-02T10:09:51.210000Z,1c
20180102T102807Z,2018-01-02T10:28:07.640000Z,1a
20180102T104505Z,2018-01-02T10:45:05.840000Z,1a
20180102T112914Z,2018-01-02T11:29:14.310000Z,1b
20180102T113155Z,2018-01-02T11:31:55.440000Z,1a
20180102T114702Z,2018-01-02T11:47:02.370000Z,1a
20180102T120209Z,2018-01-02T12:02:09.130000Z,1b
20180102T120756Z,2018-01-02T12:07:56.000000Z,4c
20180102T122908Z,2018-01-02T12:29:08.060000Z,1a
20180102T123231Z,2018-01-02T12:32:31.100000Z,1a
20180102T123331Z,2018-01-02T12:33:31.240000Z,1a
20180102T123626Z,2018-01-02T12:36:26.780000Z,6d
20180102T125633Z,2018-01-02T12:56:33.170000Z,1b
20180102T130148Z,2018-01-02T13:01:48.100000Z,4b
20180102T130417Z,2018-01-02T13:04:17.300000Z,1a
20180102T131217Z,2018-01-02T13:12:17.230000Z,1c
20180102T131712Z,2018-01-02T13:17:12.270000Z,2b
20180102T132227Z,2018-01-02T13:22:27.620000Z,2b
20180102T132659Z,2018-01-02T13:26:59.240000Z,1a
20180102T132746Z,2018-01-02T13:27:46.030000Z,1a
20180102T134055Z,2018-01-02T13:40:55.390000Z,6b
20180102T134442Z,2018-01-02T13:44:42.980000Z,1d
20180102T134610Z,2018-01-02T13:46:10.610000Z,2b
20180102T135201Z,2018-01-02T13:52:01.470000Z,1d
20180102T142815Z,2018-01-02T14:28:15.350000Z,1c
20180102T145154Z,2018-01-02T14:51:54.140000Z,1a
20180102T145731Z,2018-01-02T14:57:31.610000Z,1a
20180102T151403Z,2018-01-02T15:14:03.000000Z,1a
20180102T151801Z,2018-01-02T15:18:01.440000Z,1d
20180102T152323Z,2018-01-02T15:23:23.730000Z,1a
20180102T153537Z,2018-01-02T15:35:37.460000Z,1b
20180102T154407Z,2018-01-02T15:44:07.530000Z,5a
20180102T155829Z,2018-01-02T15:58:29.240000Z,1d
20180102T160214Z,2018-01-02T16:02:14.620000Z,2b
20180102T162018Z,2018-01-02T16:20:18.370000Z,1b
20180102T162702Z,2018-01-02T16:27:02.220000Z,1a
20180102T162727Z,2018-01-02T16:27:27.700000Z,1a
20180102T162753Z,2018-01-02T16:27:53.910000Z,8c
20180102T162823Z,2018-01-02T16:28:23.050000Z,3d
20180102T164639Z,2018-01-02T16:46:39.990000Z,1a
20180102T170436Z,2018-01-02T17:04:36.550000Z,6d
20180102T171601Z,2018-01-02T17:16:01.090000Z,1a
20180102T173558Z,2018-01-02T17:35:58.250000Z,1a
20180102T175301Z,2018-01-02T17:53:01.270000Z,3d
20180102T175539Z,2018-01-02T17:55:39.040000Z,5a
20180102T180431Z,2018-01-02T18:04:31.310000Z,1a
20180102T181451Z,2018-01-02T18:14:51.930000Z,2b
20180102T182328Z,2018-01-02T18:23:28.280000Z,2b
20180102T182732Z,2018-01-02T18:27:32.360000Z,5a
20180102T183549Z,2018-01-02T18:35:49.230000Z,1c
20180102T184920Z,2018-01-02T18:49:20.730000Z,1a
20180102T190223Z,2018-01-02T19:02:23.320000Z,2b
20180102T190243Z,2018-01-02T19:02:43.960000Z,1d
20180102T190549Z,2018-01-02T19:05:49.790000Z,1a
20180102T190648Z,2018-01-02T19:06:48.980000Z,1b
20180102T193037Z,2018-01-02T19:30:37.350000Z,1b
20180102T193709Z,2018-01-02T19:37:09.050000Z,1a
20180102T193904Z,2018-01-02T19:39:04.140000Z,2b
20180102T194004Z,2018-01-02T19:40:04.160000Z,1b
20180102T195431Z,2018-01-02T19:54:31.180000Z,5c
20180102T200353Z,2018-01-02T20:03:53.300000Z,5a
20180102T202303Z,2018-01-02T20:23:03.150000Z,1b
20180102T203102Z,2018-01-02T20:31:02.880000Z,1a
20180102T203259Z,2018-01-02T20:32:59.410000Z,1a
20180102T204310Z,2018-01-02T20:43:10.090000Z,4b
20180102T205643Z,2018-01-02T20:56:43.430000Z,1a
20180102T205750Z,2018-01-02T20:57:50.500000Z,1a
20180102T210304Z,2018-01-02T21:03:04.180000Z,1d
20180102T210332Z,2018-01-02T21:03:32.120000Z,1b
20180102T210827Z,2018-01-02T21:08:27.080000Z,1a
20180102T212036Z,2018-01-02T21:20:36.530000Z,1d
20180102T212225Z,2018-01-02T21:22:25.000000Z,5a
20180102T212629Z,2018-01-02T21:26:29.450000Z,2c
20180102T212929Z,2018-01-02T21:29:29.420000Z,1c
20180102T213713Z,2018-01-02T21:37:13.100000Z,1a
20180102T215135Z,2018-01-02T21:51:35.150000Z,1b
20180102T215439Z,2018-01-02T21:54:39.250000Z,1b
20180102T215500Z,2018-01-02T21:55:00.430000Z,2b
20180102T221034Z,2018-01-02T22:10:34.220000Z,5a
20180102T221405Z,2018-01-02T22:14:05.620000Z,1b
20180102T221428Z,2018-01-02T22:14:28.310000Z,2b
20180102T222150Z,2018-01-02T22:21:50.560000Z,2b
20180102T222243Z,2018-01-02T22:22:43.310000Z,1d
20180102T222651Z,2018-01-02T22:26:51.630000Z,1b
20180102T223127Z,2018-01-02T22:31:27.370000Z,1a
20180102T223710Z,2018-01-02T22:37:10.130000Z,1d
20180102T225247Z,2018-01-02T22:52:47.800000Z,6d
20180102T230015Z,2018-01-02T23:00:15.500000Z,8c
20180102T230258Z,2018-01-02T23:02:58.290000Z,6b
20180102T232415Z,2018-01-02T23:24:15.510000Z,1b
20180102T233335Z,2018-01-02T23:33:35.120000Z,1b
20180102T234826Z,2018-01-02T23:48:26.110000Z,1a
20180102T235003Z,2018-01-02T23:50:03.150000Z,2b
20180102T235559Z,2018-01-02T23:55:59.320000Z,6b
20180102T002238Z,2018-01-02T00:22:38.020000Z,3d
20180102T002926Z,2018-01-02T00:29:26.170000Z,3d
20180102T010211Z,2018-01-02T01:02:11.350000Z,4b
20180102T010756Z,2018-01-02T01:07:56.520000Z,1b
20180102T014056Z,2018-01-02T01:40:56.300000Z,2b
20180102T060144Z,2018-01-02T06:01:44.060000Z,3d
20180102T065335Z,2018-01-02T06:53:35.010000Z,1b
20180102T075759Z,2018-01-02T07:57:59.160000Z,1b
20180102T091645Z,2018-01-02T09:16:45.090000Z,3d
20180102T092200Z,2018-01-02T09:22:00.580000Z,1b
20180102T095958Z,2018-01-02T09:59:58.050000Z,1c
20180102T101131Z,2018-01-02T10:11:31.280000Z,1b
20180102T111304Z,2018-01-02T11:13:04.250000Z,1b
20180102T113557Z,2018-01-02T11:35:57.040000Z,1b
20180102T124951Z,2018-01-02T12:49:51.230000Z,1c
20180102T130149Z,2018-01-02T13:01:49.010000Z,1b
20180102T131247Z,2018-01-02T13:12:47.680000Z,1b
20180102T144221Z,2018-01-02T14:42:21.170000Z,1b
20180102T144509Z,2018-01-02T14:45:09.290000Z,1b
20180102T144926Z,2018-01-02T14:49:26.210000Z,1b
20180102T154813Z,2018-01-02T15:48:13.440000Z,1b
20180102T155828Z,2018-01-02T15:58:28.290000Z,4b
20180102T162149Z,2018-01-02T16:21:49.040000Z,3d
20180102T171637Z,2018-01-02T17:16:37.350000Z,1b
20180102T171920Z,2018-01-02T17:19:20.620000Z,1b
20180102T175059Z,2018-01-02T17:50:59.840000Z,1b
20180102T185121Z,2018-01-02T18:51:21.060000Z,5c
20180102T195432Z,2018-01-02T19:54:32.410000Z,1b
20180102T202431Z,2018-01-02T20:24:31.110000Z,1b
20180102T203042Z,2018-01-02T20:30:42.430000Z,5c
20180102T221035Z,2018-01-02T22:10:35.450000Z,1b
20180102T225349Z,2018-01-02T22:53:49.120000Z,1b
20180102T000149Z,2018-01-02T00:01:49.540000Z,1c
20180102T000253Z,2018-01-02T00:02:53.100000Z,6a
20180102T000828Z,2018-01-02T00:08:28.430000Z,6d
20180102T001723Z,2018-01-02T00:17:23.440000Z,6d
20180102T004132Z,2018-01-02T00:41:32.620000Z,1c
20180102T005523Z,2018-01-02T00:55:23.040000Z,1c
20180102T013610Z,2018-01-02T01:36:10.200000Z,1c
20180102T013823Z,2018-01-02T01:38:23.300000Z,4b
20180102T013950Z,2018-01-02T01:39:50.670000Z,1c
20180102T015114Z,2018-01-02T01:51:14.740000Z,8d
20180102T015527Z,2018-01-02T01:55:27.900000Z,1c
20180102T020523Z,2018-01-02T02:05:23.420000Z,8c
20180102T021026Z,2018-01-02T02:10:26.380000Z,1c
20180102T021432Z,2018-01-02T02:14:32.170000Z,1d
20180102T021519Z,2018-01-02T02:15:19.080000Z,1c
20180102T021557Z,2018-01-02T02:15:57.700000Z,1c
20180102T022926Z,2018-01-02T02:29:26.620000Z,2c
20180102T025739Z,2018-01-02T02:57:39.140000Z,1c
20180102T025914Z,2018-01-02T02:59:14.500000Z,1c
20180102T030406Z,2018-01-02T03:04:06.560000Z,1c
20180102T030452Z,2018-01-02T03:04:52.290000Z,1c
20180102T031611Z,2018-01-02T03:16:11.980000Z,1c
20180102T031949Z,2018-01-02T03:19:49.000000Z,1c
20180102T032418Z,2018-01-02T03:24:18.030000Z,1d
20180102T033044Z,2018-01-02T03:30:44.470000Z,4b
20180102T033235Z,2018-01-02T03:32:35.230000Z,1c
20180102T033511Z,2018-01-02T03:35:11.250000Z,1d
20180102T034344Z,2018-01-02T03:43:44.070000Z,1c
20180102T040847Z,2018-01-02T04:08:47.190000Z,1c
20180102T041047Z,2018-01-02T04:10:47.220000Z,1d
20180102T041202Z,2018-01-02T04:12:02.960000Z,1c
20180102T042111Z,2018-01-02T04:21:11.610000Z,1d
20180102T042724Z,2018-01-02T04:27:24.050000Z,1c
20180102T043014Z,2018-01-02T04:30:14.080000Z,1c
20180102T044452Z,2018-01-02T04:44:52.430000Z,1d
20180102T045010Z,2018-01-02T04:50:10.200000Z,2a
20180102T050616Z,2018-01-02T05:06:16.140000Z,8c
20180102T051334Z,2018-01-02T05:13:34.370000Z,4b
20180102T052259Z,2018-01-02T05:22:59.550000Z,2b
20180102T052701Z,2018-01-02T05:27:01.960000Z,2c
20180102T055044Z,2018-01-02T05:50:44.060000Z,1c
20180102T060852Z,2018-01-02T06:08:52.400000Z,1d
20180102T062110Z,2018-01-02T06:21:10.550000Z,5c
20180102T064421Z,2018-01-02T06:44:21.060000Z,2c
20180102T070157Z,2018-01-02T07:01:57.720000Z,1d
20180102T070317Z,2018-01-02T07:03:17.750000Z,2c
20180102T071236Z,2018-01-02T07:12:36.130000Z,1d
20180102T072536Z,2018-01-02T07:25:36.140000Z,5a
20180102T073448Z,2018-01-02T07:34:48.560000Z,1d
20180102T074324Z,2018-01-02T07:43:24.890000Z,2d
20180102T074401Z,2018-01-02T07:44:01.520000Z,1c
20180102T075159Z,2018-01-02T07:51:59.920000Z,1c
20180102T081322Z,2018-01-02T08:13:22.760000Z,1c
20180102T081400Z,2018-01-02T08:14:00.560000Z,1c
20180102T082840Z,2018-01-02T08:28:40.450000Z,6d
20180102T084821Z,2018-01-02T08:48:21.490000Z,6b
20180102T090418Z,2018-01-02T09:04:18.370000Z,1d
20180102T090501Z,2018-01-02T09:05:01.310000Z,1c
20180102T090634Z,2018-01-02T09:06:34.630000Z,1c
20180102T094311Z,2018-01-02T09:43:11.910000Z,1d
20180102T095047Z,2018-01-02T09:50:47.450000Z,2c
20180102T095306Z,2018-01-02T09:53:06.350000Z,1c
20180102T100108Z,2018-01-02T10:01:08.710000Z,1c
20180102T100650Z,2018-01-02T10:06:50.200000Z,1c
20180102T100712Z,2018-01-02T10:07:12.350000Z,1d
20180102T101602Z,2018-01-02T10:16:02.320000Z,1c
20180102T102211Z,2018-01-02T10:22:11.510000Z,2c
20180102T102606Z,2018-01-02T10:26:06.520000Z,1c
20180102T103606Z,2018-01-02T10:36:06.510000Z,8c
20180102T103917Z,2018-01-02T10:39:17.340000Z,2c
20180102T104446Z,2018-01-02T10:44:46.370000Z,8c
20180102T104506Z,2018-01-02T10:45:06.530000Z,1c
20180102T104928Z,2018-01-02T10:49:28.490000Z,1c
20180102T105105Z,2018-01-02T10:51:05.240000Z,1c
20180102T105418Z,2018-01-02T10:54:18.300000Z,6d
20180102T105444Z,2018-01-02T10:54:44.380000Z,1c
20180102T110429Z,2018-01-02T11:04:29.530000Z,1c
20180102T110902Z,2018-01-02T11:09:02.690000Z,1d
20180102T111851Z,2018-01-02T11:18:51.080000Z,1c
20180102T111928Z,2018-01-02T11:19:28.530000Z,4b
20180102T112846Z,2018-01-02T11:28:46.280000Z,1d
20180102T113154Z,2018-01-02T11:31:54.510000Z,4b
20180102T114146Z,2018-01-02T11:41:46.100000Z,7d
20180102T114701Z,2018-01-02T11:47:01.470000Z,5a
20180102T114949Z,2018-01-02T11:49:49.930000Z,1c
20180102T115029Z,2018-01-02T11:50:29.000000Z,5b
20180102T120208Z,2018-01-02T12:02:08.940000Z,5c
20180102T120757Z,2018-01-02T12:07:57.100000Z,2c
20180102T121038Z,2018-01-02T12:10:38.430000Z,1d
20180102T121411Z,2018-01-02T12:14:11.600000Z,1d
20180102T121757Z,2018-01-02T12:17:57.250000Z,2a
20180102T122308Z,2018-01-02T12:23:08.090000Z,1c
20180102T122907Z,2018-01-02T12:29:07.130000Z,4b
20180102T123130Z,2018-01-02T12:31:30.260000Z,1c
20180102T123627Z,2018-01-02T12:36:27.190000Z,1c
20180102T124638Z,2018-01-02T12:46:38.220000Z,1c
20180102T125454Z,2018-01-02T12:54:54.190000Z,1c
20180102T125731Z,2018-01-02T12:57:31.880000Z,7d
20180102T131053Z,2018-01-02T13:10:53.070000Z,1c
20180102T131304Z,2018-01-02T13:13:04.610000Z,1d
20180102T131749Z,2018-01-02T13:17:49.720000Z,8d
20180102T131849Z,2018-01-02T13:18:49.730000Z,2b
20180102T132317Z,2018-01-02T13:23:17.260000Z,1d
20180102T132607Z,2018-01-02T13:26:07.290000Z,2c
20180102T132658Z,2018-01-02T13:26:58.880000Z,2b
20180102T132900Z,2018-01-02T13:29:00.890000Z,8c
20180102T133458Z,2018-01-02T13:34:58.880000Z,1c
20180102T133517Z,2018-01-02T13:35:17.700000Z,1c
20180102T133618Z,2018-01-02T13:36:18.090000Z,1c
20180102T133746Z,2018-01-02T13:37:46.170000Z,1c
20180102T134056Z,2018-01-02T13:40:56.350000Z,2b
20180102T134603Z,2018-01-02T13:46:03.600000Z,1d
20180102T135200Z,2018-01-02T13:52:00.980000Z,1c
20180102T135653Z,2018-01-02T13:56:53.330000Z,1c
20180102T140056Z,2018-01-02T14:00:56.150000Z,2c
20180102T140430Z,2018-01-02T14:04:30.160000Z,1c
20180102T140910Z,2018-01-02T14:09:10.000000Z,1d
20180102T142542Z,2018-01-02T14:25:42.990000Z,1c
20180102T143701Z,2018-01-02T14:37:01.100000Z,8c
20180102T145141Z,2018-01-02T14:51:41.310000Z,1c
20180102T145153Z,2018-01-02T14:51:53.570000Z,6b
20180102T145822Z,2018-01-02T14:58:22.000000Z,4b
20180102T150537Z,2018-01-02T15:05:37.600000Z,1d
20180102T150956Z,2018-01-02T15:09:56.570000Z,1d
20180102T151800Z,2018-01-02T15:18:00.890000Z,5c
20180102T152848Z,2018-01-02T15:28:48.160000Z,8c
20180102T153137Z,2018-01-02T15:31:37.650000Z,1c
20180102T153501Z,2018-01-02T15:35:01.360000Z,1c
20180102T153930Z,2018-01-02T15:39:30.300000Z,1c
20180102T154210Z,2018-01-02T15:42:10.860000Z,1c
20180102T154408Z,2018-01-02T15:44:08.910000Z,2b
20180102T154635Z,2018-01-02T15:46:35.510000Z,1c
20180102T154812Z,2018-01-02T15:48:12.340000Z,5b
20180102T155453Z,2018-01-02T15:54:53.190000Z,1c
20180102T155510Z,2018-01-02T15:55:10.290000Z,1d
20180102T155535Z,2018-01-02T15:55:35.250000Z,2c
20180102T155752Z,2018-01-02T15:57:52.470000Z,1d
20180102T160030Z,2018-01-02T16:00:30.980000Z,1c
20180102T160514Z,2018-01-02T16:05:14.840000Z,1c
20180102T161201Z,2018-01-02T16:12:01.520000Z,1d
20180102T162017Z,2018-01-02T16:20:17.440000Z,4b
20180102T162701Z,2018-01-02T16:27:01.300000Z,4b
20180102T162754Z,2018-01-02T16:27:54.070000Z,1d
20180102T162927Z,2018-01-02T16:29:27.720000Z,7d
20180102T164053Z,2018-01-02T16:40:53.160000Z,1d
20180102T164150Z,2018-01-02T16:41:50.940000Z,6d
20180102T165246Z,2018-01-02T16:52:46.250000Z,1d
20180102T170224Z,2018-01-02T17:02:24.070000Z,1c
20180102T171437Z,2018-01-02T17:14:37.490000Z,1c
20180102T171951Z,2018-01-02T17:19:51.310000Z,1d
20180102T172416Z,2018-01-02T17:24:16.680000Z,1d
20180102T173147Z,2018-01-02T17:31:47.210000Z,1c
20180102T173217Z,2018-01-02T17:32:17.160000Z,5a
20180102T173557Z,2018-01-02T17:35:57.030000Z,5c
20180102T173816Z,2018-01-02T17:38:16.050000Z,1c
20180102T174716Z,2018-01-02T17:47:16.330000Z,4b
20180102T174802Z,2018-01-02T17:48:02.750000Z,1c
20180102T175139Z,2018-01-02T17:51:39.690000Z,8c
20180102T175540Z,2018-01-02T17:55:40.220000Z,1c
20180102T175750Z,2018-01-02T17:57:50.500000Z,2c
20180102T180430Z,2018-01-02T18:04:30.830000Z,1c
20180102T180921Z,2018-01-02T18:09:21.170000Z,8d
20180102T181452Z,2018-01-02T18:14:52.300000Z,1c
20180102T181548Z,2018-01-02T18:15:48.290000Z,1d
20180102T182733Z,2018-01-02T18:27:33.310000Z,8c
20180102T183205Z,2018-01-02T18:32:05.800000Z,2c
20180102T184218Z,2018-01-02T18:42:18.150000Z,1c
20180102T184246Z,2018-01-02T18:42:46.970000Z,1d
20180102T184758Z,2018-01-02T18:47:58.910000Z,1c
20180102T185734Z,2018-01-02T18:57:34.480000Z,1c
20180102T190951Z,2018-01-02T19:09:51.120000Z,4d
20180102T191731Z,2018-01-02T19:17:31.840000Z,1c
20180102T191815Z,2018-01-02T19:18:15.320000Z,1c
20180102T192410Z,2018-01-02T19:24:10.970000Z,1c
20180102T193644Z,2018-01-02T19:36:44.990000Z,1d
20180102T193806Z,2018-01-02T19:38:06.150000Z,6d
20180102T194003Z,2018-01-02T19:40:03.220000Z,4b
20180102T194631Z,2018-01-02T19:46:31.020000Z,6d
20180102T200139Z,2018-01-02T20:01:39.360000Z,1c
20180102T200354Z,2018-01-02T20:03:54.680000Z,2b
20180102T200615Z,2018-01-02T20:06:15.610000Z,1c
20180102T201428Z,2018-01-02T20:14:28.800000Z,1c
20180102T201556Z,2018-01-02T20:15:56.590000Z,2b
20180102T201843Z,2018-01-02T20:18:43.270000Z,1c
20180102T202041Z,2018-01-02T20:20:41.060000Z,4b
20180102T202256Z,2018-01-02T20:22:56.210000Z,1c
20180102T202657Z,2018-01-02T20:26:57.540000Z,2d
20180102T203043Z,2018-01-02T20:30:43.360000Z,1c
20180102T204602Z,2018-01-02T20:46:02.170000Z,1d
20180102T205508Z,2018-01-02T20:55:08.870000Z,1c
20180102T210437Z,2018-01-02T21:04:37.160000Z,2c
20180102T211005Z,2018-01-02T21:10:05.470000Z,1c
20180102T211233Z,2018-01-02T21:12:33.250000Z,1c
20180102T211341Z,2018-01-02T21:13:41.330000Z,8c
20180102T212226Z,2018-01-02T21:22:26.180000Z,1c
20180102T213712Z,2018-01-02T21:37:12.830000Z,2b
20180102T213825Z,2018-01-02T21:38:25.230000Z,1c
20180102T215438Z,2018-01-02T21:54:38.020000Z,5c
20180102T220438Z,2018-01-02T22:04:38.260000Z,1c
20180102T220847Z,2018-01-02T22:08:47.760000Z,1d
20180102T220952Z,2018-01-02T22:09:52.220000Z,1d
20180102T221132Z,2018-01-02T22:11:32.210000Z,1c
20180102T221547Z,2018-01-02T22:15:47.250000Z,1d
20180102T221839Z,2018-01-02T22:18:39.910000Z,2c
20180102T222226Z,2018-01-02T22:22:26.020000Z,6d
20180102T222242Z,2018-01-02T22:22:42.820000Z,1c
20180102T222358Z,2018-01-02T22:23:58.750000Z,1c
20180102T223126Z,2018-01-02T22:31:26.270000Z,5b
20180102T223709Z,2018-01-02T22:37:09.600000Z,1c
20180102T224840Z,2018-01-02T22:48:40.230000Z,1c
20180102T225248Z,2018-01-02T22:52:48.210000Z,1c
20180102T225748Z,2018-01-02T22:57:48.170000Z,1c
20180102T230259Z,2018-01-02T23:02:59.260000Z,2b
20180102T230735Z,2018-01-02T23:07:35.220000Z,1c
20180102T230918Z,2018-01-02T23:09:18.440000Z,1d
20180102T231357Z,2018-01-02T23:13:57.260000Z,1c
20180102T231946Z,2018-01-02T23:19:46.960000Z,1c
20180102T233334Z,2018-01-02T23:33:34.180000Z,4b
20180102T233408Z,2018-01-02T23:34:08.700000Z,1c
20180102T233504Z,2018-01-02T23:35:04.220000Z,2c
20180102T235416Z,2018-01-02T23:54:16.350000Z,1c
20180102T235600Z,2018-01-02T23:56:00.220000Z,2c
20180102T000643Z,2018-01-02T00:06:43.010000Z,4d
20180102T001724Z,2018-01-02T00:17:24.460000Z,1d
20180102T005522Z,2018-01-02T00:55:22.720000Z,1d
20180102T005607Z,2018-01-02T00:56:07.480000Z,1d
20180102T010812Z,2018-01-02T01:08:12.640000Z,2c
20180102T014144Z,2018-01-02T01:41:44.020000Z,2c
20180102T014239Z,2018-01-02T01:42:39.660000Z,7d
20180102T015115Z,2018-01-02T01:51:15.100000Z,1d
20180102T015528Z,2018-01-02T01:55:28.460000Z,1d
20180102T021518Z,2018-01-02T02:15:18.760000Z,1d
20180102T021558Z,2018-01-02T02:15:58.080000Z,1d
20180102T022402Z,2018-01-02T02:24:02.640000Z,2c
20180102T022513Z,2018-01-02T02:25:13.540000Z,7d
20180102T022927Z,2018-01-02T02:29:27.250000Z,1d
20180102T023811Z,2018-01-02T02:38:11.190000Z,6d
20180102T025738Z,2018-01-02T02:57:38.690000Z,4b
20180102T025915Z,2018-01-02T02:59:15.060000Z,1d
20180102T030308Z,2018-01-02T03:03:08.880000Z,2c
20180102T030407Z,2018-01-02T03:04:07.120000Z,1d
20180102T031934Z,2018-01-02T03:19:34.730000Z,1d
20180102T031948Z,2018-01-02T03:19:48.680000Z,1d
20180102T033434Z,2018-01-02T03:34:34.750000Z,1d
20180102T034343Z,2018-01-02T03:43:43.740000Z,1d
20180102T040846Z,2018-01-02T04:08:46.330000Z,4d
20180102T051228Z,2018-01-02T05:12:28.760000Z,1d
20180102T052702Z,2018-01-02T05:27:02.590000Z,1d
20180102T060027Z,2018-01-02T06:00:27.070000Z,1d
20180102T065038Z,2018-01-02T06:50:38.650000Z,2c
20180102T074325Z,2018-01-02T07:43:25.110000Z,6d
20180102T074402Z,2018-01-02T07:44:02.010000Z,1d
20180102T075200Z,2018-01-02T07:52:00.480000Z,1d
20180102T084822Z,2018-01-02T08:48:22.240000Z,8c
20180102T085107Z,2018-01-02T08:51:07.350000Z,1d
20180102T090151Z,2018-01-02T09:01:51.890000Z,2c
20180102T091936Z,2018-01-02T09:19:36.080000Z,2c
20180102T095957Z,2018-01-02T09:59:57.170000Z,4d
20180102T100109Z,2018-01-02T10:01:09.270000Z,1d
20180102T102021Z,2018-01-02T10:20:21.920000Z,1d
20180102T104238Z,2018-01-02T10:42:38.570000Z,1d
20180102T105104Z,2018-01-02T10:51:04.920000Z,1d
20180102T105445Z,2018-01-02T10:54:45.240000Z,1d
20180102T114145Z,2018-01-02T11:41:45.830000Z,2c
